,date,Narendra Modi,Rahul Gandhi,MK Stalin,Mamata banerjee,Navin Patnaik,isPartial,Uddhav Thackeray,N. Chandrababu Naidu,K. Chandrashekar Rao,Sitaram Yechury
0,2019-02-08,9,22,0,9,0,False,0,0,0,0
1,2019-02-09,10,30,0,10,0,False,0,0,0,0
2,2019-02-10,30,20,0,0,0,False,0,0,0,0
3,2019-02-11,9,13,0,0,0,False,0,0,0,0
4,2019-02-12,13,18,0,9,0,False,0,0,0,0
5,2019-02-13,13,9,0,9,0,False,0,0,0,0
6,2019-02-14,12,16,0,8,0,False,0,0,0,0
7,2019-02-15,52,19,0,0,0,False,0,0,0,0
8,2019-02-16,39,12,0,8,0,False,0,0,0,0
9,2019-02-17,34,21,0,9,0,False,0,0,0,0
10,2019-02-18,12,12,0,8,0,False,0,0,0,0
11,2019-02-19,13,9,0,0,0,False,84,0,0,0
12,2019-02-20,22,0,0,9,0,False,0,0,0,0
13,2019-02-21,8,8,0,8,0,False,0,0,0,0
14,2019-02-22,18,13,0,27,0,False,0,0,0,0
15,2019-02-23,14,19,0,0,0,False,0,0,0,0
16,2019-02-24,27,27,0,0,0,False,0,0,0,0
17,2019-02-25,18,9,0,9,0,False,0,0,0,0
18,2019-02-26,31,6,0,6,0,False,0,0,0,0
19,2019-02-27,15,30,0,6,0,False,55,0,0,0
20,2019-02-28,31,23,0,0,0,False,0,0,0,0
21,2019-03-01,27,11,0,0,0,False,0,0,0,0
22,2019-03-02,27,13,0,9,0,False,0,0,0,0
23,2019-03-03,19,14,0,0,0,False,0,0,0,0
24,2019-03-04,23,32,0,0,0,False,0,0,0,0
25,2019-03-05,18,18,9,0,0,False,0,0,0,0
26,2019-03-06,27,19,0,0,0,False,0,0,0,0
27,2019-03-07,9,24,0,0,0,False,87,0,0,0
28,2019-03-08,15,59,0,0,0,False,0,0,0,0
29,2019-03-09,26,22,0,11,0,False,0,0,0,0
30,2019-03-10,19,15,0,0,0,False,90,0,0,0
31,2019-03-11,29,56,0,10,0,False,0,0,0,0
32,2019-03-12,29,24,0,10,0,False,0,0,0,0
33,2019-03-13,9,37,0,9,0,False,0,0,0,0
34,2019-03-14,10,0,0,0,0,False,0,0,0,0
35,2019-03-15,0,19,0,18,0,False,0,0,0,0
36,2019-03-16,26,41,10,0,0,False,0,0,0,0
37,2019-03-17,21,21,0,0,0,False,0,0,0,0
38,2019-03-18,20,69,0,0,0,False,0,0,0,0
39,2019-03-19,20,24,0,10,0,False,0,0,0,0
40,2019-03-20,21,27,0,21,0,False,0,0,0,0
41,2019-03-21,11,46,0,0,0,False,0,0,0,0
42,2019-03-22,31,20,0,0,0,False,0,0,0,0
43,2019-03-23,20,74,0,0,0,False,0,0,0,0
44,2019-03-24,9,61,0,0,0,False,0,0,0,0
45,2019-03-25,29,34,0,10,0,False,0,0,0,0
46,2019-03-26,15,49,0,10,0,False,0,0,0,0
47,2019-03-27,93,34,0,10,0,False,0,0,0,0
48,2019-03-28,20,30,0,10,0,False,0,0,0,0
49,2019-03-29,29,39,0,10,0,False,0,0,0,90
50,2019-03-30,20,15,0,0,0,False,0,0,0,0
51,2019-03-31,32,21,0,0,0,False,0,0,0,0
52,2019-04-01,29,34,0,0,0,False,0,0,0,0
53,2019-04-02,25,20,0,0,0,False,91,0,0,0
54,2019-04-03,40,20,0,20,0,False,0,0,0,0
55,2019-04-04,10,29,0,9,0,False,0,0,0,0
56,2019-04-05,14,19,0,0,0,False,0,0,0,0
57,2019-04-06,40,15,0,10,0,False,0,0,0,0
58,2019-04-07,27,59,0,11,0,False,0,0,0,0
59,2019-04-08,20,39,0,10,0,False,0,0,0,0
60,2019-04-09,31,30,0,0,0,False,0,0,0,0
61,2019-04-10,29,34,0,10,0,False,91,0,0,0
62,2019-04-11,37,37,0,0,0,False,0,0,0,0
63,2019-04-12,30,20,0,0,0,False,0,0,0,0
64,2019-04-13,37,21,0,0,0,False,100,0,0,0
65,2019-04-14,27,16,0,0,0,False,0,0,0,0
66,2019-04-15,20,14,0,0,0,False,0,0,0,0
67,2019-04-16,29,24,0,10,0,False,0,0,0,0
68,2019-04-17,29,14,0,0,0,False,0,0,0,0
69,2019-04-18,19,29,0,0,0,False,0,0,0,0
70,2019-04-19,16,37,0,0,0,False,0,0,0,0
71,2019-04-20,21,69,0,0,0,False,0,0,0,0
72,2019-04-21,21,31,0,0,0,False,0,0,0,0
73,2019-04-22,19,100,0,9,0,False,0,0,0,0
74,2019-04-23,10,38,0,0,0,False,0,0,0,0
75,2019-04-24,25,35,10,10,0,False,0,0,0,0
76,2019-04-25,26,46,0,10,0,False,0,0,0,0
77,2019-04-26,50,20,0,10,0,False,0,0,0,0
78,2019-04-27,20,20,0,0,0,False,0,0,0,0
79,2019-04-28,66,38,0,0,0,False,0,0,0,0
80,2019-04-29,18,18,0,0,0,False,0,0,0,0
81,2019-04-30,28,24,0,0,0,False,0,0,0,0
82,2019-05-01,15,35,0,0,0,False,0,0,0,0
83,2019-05-02,19,19,0,0,0,False,0,0,0,0
84,2019-05-03,27,27,0,9,0,False,0,0,0,0
85,2019-05-04,21,21,0,0,0,False,0,0,0,0
86,2019-05-05,21,47,0,0,0,False,0,0,0,0
